Source;Target;Type;Weight
241;641;Undirected;0.190037080634689
173;241;Undirected;0.18991752661285025
613;892;Undirected;0.1897521462731792
800;820;Undirected;0.18972364324467395
792;831;Undirected;0.18972217768882504
35;803;Undirected;0.1895572852917507
466;609;Undirected;0.1891571683168612
644;726;Undirected;0.18898190158895306
479;732;Undirected;0.18891311068683247
103;173;Undirected;0.18821039321809774
500;619;Undirected;0.18803632071885246
589;646;Undirected;0.18790128866222136
39;221;Undirected;0.187880028602838
28;565;Undirected;0.1878013815079658
63;265;Undirected;0.1874119392458723
54;646;Undirected;0.18717831971530124
203;613;Undirected;0.18706323830535235
141;945;Undirected;0.18669540743061436
126;379;Undirected;0.1866439826614046
433;834;Undirected;0.18650994868051107
173;603;Undirected;0.18639629821222187
80;396;Undirected;0.18634338197423106
375;785;Undirected;0.1863006619525808
12;236;Undirected;0.1862384831625368
850;918;Undirected;0.1861099504031682
433;880;Undirected;0.18590546478402492
207;538;Undirected;0.18581435923130693
110;505;Undirected;0.18578012807337946
515;918;Undirected;0.18572957958985895
134;630;Undirected;0.1856316048504882
751;976;Undirected;0.1855244683488975
918;938;Undirected;0.1854128840555294
786;921;Undirected;0.18533324362744055
80;356;Undirected;0.1852933753748728
125;408;Undirected;0.18527907166029103
2;880;Undirected;0.1852372507927738
203;726;Undirected;0.18514997693933805
229;648;Undirected;0.18495469775889356
41;265;Undirected;0.18493535987623425
326;672;Undirected;0.1848986072641441
70;398;Undirected;0.18465861629589586
87;120;Undirected;0.18453317605749905
396;800;Undirected;0.1845219476299576
2;649;Undirected;0.1843846163655012
519;727;Undirected;0.18431839803145328
521;880;Undirected;0.18411657151747446
445;515;Undirected;0.18408729860646286
185;265;Undirected;0.1840462940205204
433;649;Undirected;0.18374446134940034
407;880;Undirected;0.18371111088492276
173;624;Undirected;0.18362371698383226
515;871;Undirected;0.18355040045896698
77;483;Undirected;0.1828611811832848
695;871;Undirected;0.18264524798476567
641;980;Undirected;0.18260141168483493
17;421;Undirected;0.182559144598512
313;472;Undirected;0.18250773974793366
423;549;Undirected;0.1824973563068898
768;802;Undirected;0.18240792455463492
300;824;Undirected;0.1821187290768128
379;905;Undirected;0.18192443160664865
69;673;Undirected;0.18148140516436345
189;439;Undirected;0.18143985464321385
58;79;Undirected;0.1810792519285461
607;919;Undirected;0.1810305779348364
535;880;Undirected;0.1809162153421855
7;306;Undirected;0.180868663830101
279;625;Undirected;0.1806745507449236
151;481;Undirected;0.18057091082142776
225;469;Undirected;0.18054630211382006
473;834;Undirected;0.18053248688232496
204;619;Undirected;0.1805136207913972
599;920;Undirected;0.18048178912897395
475;616;Undirected;0.180406183858674
185;229;Undirected;0.18037676899884808
189;732;Undirected;0.18025795818439871
3;638;Undirected;0.1801067064343503
30;629;Undirected;0.17984196251296752
412;435;Undirected;0.17983327940870705
151;548;Undirected;0.17964592708788335
93;178;Undirected;0.17960323949810506
7;795;Undirected;0.17953712136554104
357;625;Undirected;0.17944410809341174
589;685;Undirected;0.17932496277226428
51;380;Undirected;0.1789824429880008
470;732;Undirected;0.17894124705210232
241;603;Undirected;0.17865645146299555
53;497;Undirected;0.17864727883001766
66;127;Undirected;0.17846627981245333
525;831;Undirected;0.17824045815664302
382;759;Undirected;0.17821235677642397
602;953;Undirected;0.17816777150317342
7;30;Undirected;0.1777538425968529
17;515;Undirected;0.17774444487292865
505;911;Undirected;0.17773381375967925
46;616;Undirected;0.17759630633363485
576;719;Undirected;0.17735934660760938
538;625;Undirected;0.17732066498027574
372;519;Undirected;0.17705374278485694
204;391;Undirected;0.17701129003036198
80;800;Undirected;0.1769887911017675
803;818;Undirected;0.17647028326347294
292;800;Undirected;0.17646782362478874
185;648;Undirected;0.17646724246184234
28;746;Undirected;0.17644535468331293
43;766;Undirected;0.17611191226710848
945;963;Undirected;0.17600470773442348
207;423;Undirected;0.17587602774798766
565;945;Undirected;0.17572137871488774
646;685;Undirected;0.1756148057774889
824;920;Undirected;0.1755887902159674
53;842;Undirected;0.1755157772508286
868;920;Undirected;0.17547326318391065
63;415;Undirected;0.17543370076707845
264;783;Undirected;0.1752552535997618
401;509;Undirected;0.17521821431725132
716;779;Undirected;0.17512887155730816
262;327;Undirected;0.17480616084402462
66;892;Undirected;0.17469984012595513
470;954;Undirected;0.1746951016805013
248;620;Undirected;0.1746325195210005
42;860;Undirected;0.1743105470443192
391;500;Undirected;0.17430861200648898
189;481;Undirected;0.17430823940940526
189;556;Undirected;0.1741819142591542
640;719;Undirected;0.17417090527518714
55;449;Undirected;0.1739128623293484
508;646;Undirected;0.17390997112094786
356;820;Undirected;0.17378921446463727
241;497;Undirected;0.17374082610441938
508;685;Undirected;0.17365140860822045
145;783;Undirected;0.17358882758900798
389;552;Undirected;0.1735365650055816
351;892;Undirected;0.17351764444122245
625;836;Undirected;0.1733671645833358
69;77;Undirected;0.1732925052713715
643;960;Undirected;0.1730741622221397
186;257;Undirected;0.17307180708868738
495;558;Undirected;0.17300289305251831
77;158;Undirected;0.17298034509747942
279;880;Undirected;0.17287779404088066
7;834;Undirected;0.17276140587530334
257;510;Undirected;0.1727242389895792
396;820;Undirected;0.1727026896903766
824;868;Undirected;0.17254510342468413
625;919;Undirected;0.17241108046703454
279;649;Undirected;0.17235627246804106
125;389;Undirected;0.1722651831073673
